City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Kavaratti,IN,2021-05-24 02:04:53,10.5669,72.642,83.34,71,71,7.25,broken clouds
200,Jambi,ID,2021-05-24 02:04:53,-1.6,103.6167,83.08,76,89,3.11,overcast clouds
201,Tabou,CI,2021-05-24 02:04:53,4.423,-7.3528,79.86,84,49,3.89,scattered clouds
202,Port Blair,IN,2021-05-24 02:03:48,11.6667,92.75,83.59,82,100,23.06,overcast clouds
203,Praia,CV,2021-05-24 02:04:54,14.9215,-23.5087,72.14,73,40,14.97,scattered clouds
204,Chokurdakh,RU,2021-05-24 02:04:54,70.6333,147.9167,29.19,91,24,1.7,few clouds
205,Atambua,ID,2021-05-24 02:04:55,-9.1061,124.8925,82.22,50,50,1.01,scattered clouds
206,Srednekolymsk,RU,2021-05-24 02:04:55,67.45,153.6833,56.21,30,62,6.42,broken clouds
207,Pattani,TH,2021-05-24 02:04:55,6.75,100.4167,85.71,73,100,3.98,overcast clouds
208,Mayo,US,2021-05-24 02:04:56,38.8876,-76.5119,84.36,68,1,1.01,clear sky
209,Ust-Omchug,RU,2021-05-24 02:04:56,61.15,149.6333,46.63,48,85,2.48,overcast clouds
210,Lodwar,KE,2021-05-24 02:04:56,3.1191,35.5973,79.77,56,14,15.19,few clouds
211,East London,ZA,2021-05-24 02:04:57,-33.0153,27.9116,64.51,28,71,5.46,broken clouds
212,Tanete,ID,2021-05-24 02:04:57,-3.9443,119.7848,81.05,80,90,5.53,overcast clouds
213,Kutum,SD,2021-05-24 02:04:57,14.2,24.6667,72.81,17,73,8.68,broken clouds
214,Amahai,ID,2021-05-24 02:04:58,-3.3333,128.9167,76.66,93,100,4.81,overcast clouds
215,La Ronge,CA,2021-05-24 02:04:58,55.1001,-105.2842,58.46,59,93,6.8,overcast clouds
216,Deputatskiy,RU,2021-05-24 02:04:58,69.3,139.9,39.25,61,5,6.4,clear sky
217,Ullal,IN,2021-05-24 02:04:59,12.8,74.85,81.55,80,20,3.78,few clouds
